index,id,org_id,url,breed_primary,breed_secondary,color_primary,color_secondary,color_tertiary,age,sex,size,coat,name,status,posted,contact_city,contact_state,contact_zip,contact_country,stateQ
3229,45692026,AR96,https://www.petfinder.com/dog/simba-45692026/ar/searcy/the-humane-society-of-searcy-ar96/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Mixed Breed,,Brindle,White / Cream,,Young,Male,Medium,Short,Simba,adoptable,2019-08-21T03:24:28+0000,Searcy,AR,72143,US,AR
3230,45691670,AR96,https://www.petfinder.com/dog/arsenal-45691670/ar/searcy/the-humane-society-of-searcy-ar96/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Mixed Breed,,White / Cream,Yellow / Tan / Blond / Fawn,,Young,Male,Medium,Short,Arsenal,adoptable,2019-08-21T02:55:55+0000,Searcy,AR,72143,US,AR
3231,45687814,AR238,https://www.petfinder.com/dog/scruffy-45687814/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Terrier,,White / Cream,,,Young,Male,Small,Long,SCRUFFY,adoptable,2019-08-20T20:58:24+0000,Malvern,AR,72104,US,AR
3232,45687671,AR238,https://www.petfinder.com/dog/ruby-45687671/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Hound,Red / Chestnut / Orange,,,Young,Female,Medium,Medium,RUBY,adoptable,2019-08-20T20:41:45+0000,Malvern,AR,72104,US,AR
3233,45687341,AR238,https://www.petfinder.com/dog/savannah-45687341/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Beagle,,White / Cream,Yellow / Tan / Blond / Fawn,,Young,Female,Medium,Medium,SAVANNAH,adoptable,2019-08-20T20:30:44+0000,Malvern,AR,72104,US,AR
3234,45687136,AR238,https://www.petfinder.com/dog/riley-45687136/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,,Red / Chestnut / Orange,,,Young,Male,Medium,Medium,RILEY,adoptable,2019-08-20T20:13:38+0000,Malvern,AR,72104,US,AR
3235,45686900,AR238,https://www.petfinder.com/dog/speckles-and-sunny-45686900/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Catahoula Leopard Dog,,Black,Gray / Blue / Silver,Yellow / Tan / Blond / Fawn,Baby,Female,Medium,Medium,SPECKLES & SUNNY,adoptable,2019-08-20T19:58:51+0000,Malvern,AR,72104,US,AR
3236,45686852,AR238,https://www.petfinder.com/dog/tater-45686852/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Chihuahua,,White / Cream,,,Young,Female,Small,Short,TATER,adoptable,2019-08-20T19:52:46+0000,Malvern,AR,72104,US,AR
3237,45686558,AR238,https://www.petfinder.com/dog/latte-45686558/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Boxer,,White / Cream,Yellow / Tan / Blond / Fawn,,Baby,Female,Medium,Medium,LATTE,adoptable,2019-08-20T19:46:30+0000,Malvern,AR,72104,US,AR
3238,45685224,AR131,https://www.petfinder.com/dog/jeanetta-45685224/ar/conway/conway-animal-welfare-unit-ar131/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,,Black,,,Adult,Male,Medium,Short,Jeanetta,adoptable,2019-08-20T18:35:54+0000,Conway,AR,72032,US,AR
3239,45682545,AR154,https://www.petfinder.com/dog/ruthie-45682545/ar/mountain-view/stone-county-humane-society-inc-ar154/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Hound,,,,,Adult,Female,Large,,Ruthie,adoptable,2019-08-20T14:54:34+0000,Mountain View,AR,72560,US,AR
3240,45682544,AR154,https://www.petfinder.com/dog/rocky-45682544/ar/mountain-view/stone-county-humane-society-inc-ar154/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Pit Bull Terrier,Terrier,,,,Young,Male,Large,,Rocky,adoptable,2019-08-20T14:54:34+0000,Mountain View,AR,72560,US,AR
3241,45682546,AR154,https://www.petfinder.com/dog/lucy-45682546/ar/mountain-view/stone-county-humane-society-inc-ar154/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Terrier,,,,Adult,Female,Medium,,Lucy,adoptable,2019-08-20T14:54:34+0000,Mountain View,AR,72560,US,AR
3242,45682543,AR154,https://www.petfinder.com/dog/desi-45682543/ar/mountain-view/stone-county-humane-society-inc-ar154/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Labrador Retriever,Terrier,,,,Adult,Male,Medium,,Desi,adoptable,2019-08-20T14:54:34+0000,Mountain View,AR,72560,US,AR
3243,45682439,AR154,https://www.petfinder.com/dog/sonny-45682439/ar/mountain-view/stone-county-humane-society-inc-ar154/?referrer_id=87b31e7d-4508-41d1-95ff-fdb59b9d4669,Airedale Terrier,Coonhound,,,,Baby,Male,Medium,,Sonny,adoptable,2019-08-20T14:38:38+0000,Mountain View,AR,72560,US,AR
